Equipped Gear Piece,,,,,,,,,,,,,,,,Modifier Bonuses,,,,,,,,,,,,,,,,,
No.,Slot,Gear Item,Talent,Category,,NinjaBike Backpack,,,,,,,,,,,,Conditional Formatting,OK,,,,,,,,,,,,,,
1,Mask,Catharsis,Vicious Cycle,Exotic,,,,,,,,,,,,Point Blank,,Rogue Momentum,,Hard-Core,,Divide and Conquer,,,,,,,,,,,
2,Chest,Hunter-Killer,Perfect Intimidate,Named,,,,,,,,,,,,Amplified WD,0%,Weapon + Skill Damage,0%,Activated,,Rate of Fire,0%,,,,,,,,,,
3,Holster,Belstone Armory,,,,,,,,,,,,,,,,Reload Speed,0%,Activated + Tier 5,,Weapon Damage,0%,,,,,,,,,,
4,Backpack,Matador,Perfect Adrenaline Rush,Named,,,,,,,,,,,,,,Rate of FIre,0%,Currently Selected:,,"

Full Controlled Bonus


(30% Rate of Fire & 30% Weapon Damage)",,,,,,,,,,,
5,Gloves,Golan Gear Ltd,,,,,,,,,,,,,,,,Momentum Stages,Currently Selected:,---,,"

Full Contested Bonus

(30% Rate of Fire)",,,,,,,,,,,
6,Kneepads,Golan Gear Ltd,,,,,,,Weapon's Core Attribute,,,,,,,,,"


Calculated


(+5% Weapon / Skill Damage)",---,Tiers:,,,,,,,,,,,,,
7,4 Set Pieces,None,,,,,,,No.,Attribute Type,Primary Weapon,Secondary Weapon,Sidearm,Max Value,,,,"


Swift


(+10% Weapon / Skill Damage, +10 Movement Speed, +5% Reload Speed)",,,,,,,,,,,,,,,
,,,,,,,,,1,Critical Hit Chance,,21%,,21%,,,,"


Ruthless


(+15% Weapon / Skill Damage, +15 Movement Speed, +10% Reload Speed, +15% Rate of Fire)",,,,,,,,,,,,,,,
Gear Attributes,,,,,,,,,2,Critical Hit Damage,,,,17%,,,,"


Savage


(+20% Weapon / Skill Damage, +20 Movement Speed, +15% Reload Speed, +20% Rate of Fire)",,,,,,,,,,,,,,,
No.,Brand,Mask,Chest,Holster,Backpack,Gloves,Kneepads,,3,Headshot Damage,,,,111%,,,,"


Unstoppable


(+20% Weapon / Skill Damage, +20 Movement Speed, +20% Reload Speed, +25% Rate of Fire, Skill Overcharge)",,Bonuses:,,,,,,,,,,,,,
,,Catharsis,Hunter-Killer,Belstone Armory,Matador,Golan Gear Ltd,Golan Gear Ltd,,4,Health Damage,21%,,,21%,,,,,,CHC,,,,,,,,,,,,,
1,Core Attribute,Armor,Armor,Armor,Armor,Armor,Armor,,5,Damage to Armor,,,,12%,,,,,,Bonus Armor,,,,,,,,,,,,,
2,Minor Attribute 1,Incoming Repairs,Armor Regen HP/s,Critical Hit Chance,Critical Hit Chance,Critical Hit Chance,Critical Hit Damage,,6,DMG Out of Cover,,,,12%,,Dropdowns:,,,,Cooldown,,,,,,,,,,,,,
3,Minor Attribute 2,Armor Regen HP/s,Critical Hit Damage,Critical Hit Damage,Critical Hit Damage,Critical Hit Damage,Critical Hit Chance,,,,,,,,,"          Global Modifier:
              Point Blank",---,,,,,,,,,,,,,,,,
4,Minor Attribute 3,Critical Hit Damage,Critical Hit Damage,,Critical Hit Chance,,,,Weapon's Minor Attribute,,,,,,,"          Global Modifier:
        Rogue Momentum","

Full Controlled Bonus


(30% Rate of Fire & 30% Weapon Damage)",,,,,,,,,,,,,,,,
,,,,,,,,,No.,Attribute Type,Primary Weapon,Secondary Weapon,Sidearm,Max Value,,"          Global Modifier:
               Hard-Core","

Full Contested Bonus

(30% Rate of Fire)",,,,,,,,,,,,,,,,
Set Bonus Active,,,,,,,,,1,Critical Hit Chance,,,,9.5%,,"          Global Modifier:
       Divide and Conquer",,,,,,,,,,,,,,,,,
No.,Brand,Named Item 1,Named Item 2,Named Item 3,Set Count (0 - 3),Set Bonus Name,4 Set Talent,,2,Critical Hit Damage,10.0%,,,10.0%,,,,,,,,,,,,,,,,,,,
1,5.11 Tactical,Deathgrips,,,0,5.11 Tactical0,,,3,Headshot Damage,,,,10.0%,,,,,,,,,,,,,,,,,,,
2,Airaldi Holdings,Pristine Example,,,0,Airaldi Holdings0,,,4,Health Damage,,,,10.0%,,,,,,,,,,,,,,,,,,,
3,Alps Summit Armament,Percussive Maintenance,Motherly Love,,0,Alps Summit Armament0,,,5,Damage to Armor,,,,6.0%,,,,,,,,,,,,,,,,,,,
4,Brazos de Arcabuz,Hermano,Picaro's Holster,,0,Brazos de Arcabuz0,,,6,DMG Out of Cover,,10.0%,10.0%,10.0%,,,,,,,,,,,,,,,,,,,
5,"Walker, Harris & Co.",Chainkiller,Matador,,1,"Walker, Harris & Co.1",,,7,Accuracy,,,,12.0%,,,,,,,,,,,,,,,,,,,
6,Uzina Getica,Closer,The Setup,,0,Uzina Getica0,,,8,Stability,,,,12.0%,,,,,,,,,,,,,,,,,,,
7,Empress International,Caesar's Guard,Battery Pack,,0,Empress International0,,,9,Reload Speed,,,,12.0%,,,,,,,,,,,,,,,,,,,
8,Overlord Armaments,Fox's Prayer,,,0,Overlord Armaments0,,,10,Optimal Range,,,,24.0%,,,,,,,,,,,,,,,,,,,
9,Gila Guard,Night Watcher,Pointman,Chill Out,0,Gila Guard0,,,11,Rate of Fire,,,,5.0%,,,,,,,,,,,,,,,,,,,
10,Grupo Sombra S.A.,Door-Kicker's Knock,Festive Delivery,,0,Grupo Sombra S.A.0,,,12,Magazine Size %,,,,12.5%,,,,,,,,,,,,,,,,,,,
11,Golan Gear Ltd,Hunter-Killer,Anarchist's Cookbook,,3,Golan Gear Ltd3,,,13,Swap Speed,,,,15.0%,,,,,,,,,,,,,,,,,,,
12,Sokolov Concern,Firm Handshake,,,0,Sokolov Concern0,,,14,1 Skill Tier,,,,1,,,,,,,,,,,,,,,,,,,
13,Douglas & Harding,Punch Drunk,,,0,Douglas & Harding0,,,15,10% Armor on Kill,,,,10.0%,,,,,,,,,,,,,,,,,,,
14,Česká Výroba s.r.o,Devil's Due,Turmoil,,0,Česká Výroba s.r.o0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,China Light Industries,Strategic Alignment,,,0,China Light Industries0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Badger Tuff,Zero F's,Ammo Dump Holster,,0,Badger Tuff0,,,Bonus from Weapon Mods,,,,,,,,,,,,,,,,,,,,,,,,
17,Hana-U Corporation,Force Multiplier,,,0,Hana-U Corporation0,,,No.,Attribute Type,Primary Weapon,Secondary Weapon,Sidearm,,,,,,,,,,,,,,,,,,,,
18,Fenris Group AB,Ferocious Calm,,,0,Fenris Group AB0,,,1,Critical Hit Chance,0%,15%,0%,,,,,,,,,,,,,,,,,,,,
19,Providence Defense,The Sacrifice,The Gift,,0,Providence Defense0,,,2,Critical Hit Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
20,Petrov Defense Group,Vedmedytsya,Contractor's Gloves,,0,Petrov Defense Group0,,,3,Headshot Damage,40%,0%,0%,,,,,,,,,,,,,,,,,,,,
21,Belstone Armory,Everyday Carrier,Liquid Engineer,,1,Belstone Armory1,,,4,Weapon Damage,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
22,Murakami Industries,Emperor's Guard,,,0,Murakami Industries0,,,5,Accuracy,20%,0%,0%,,,,,,,,,,,,,,,,,,,,
23,Yaahl Gear,The Hollow Man,,,0,Yaahl Gear0,,,6,Stability,20%,0%,0%,,,,,,,,,,,,,,,,,,,,
